# ResFinder phenotype results.
# Sample: Novara022024_S2_L001_R2_001.fastq.gz
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	No resistance	0	
streptomycin	aminoglycoside	Resistant	1	ant(3'')-Ia (ant(3'')-Ia_X02340)
amikacin	aminoglycoside	No resistance	0	
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	No resistance	0	
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	No resistance	0	
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
amoxicillin	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaOXA-10 (blaOXA-10_J03427), blaVEB-1 (blaVEB-1_HM370393)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaVEB-1 (blaVEB-1_HM370393)
ampicillin	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaOXA-10 (blaOXA-10_J03427), blaVEB-1 (blaVEB-1_HM370393), cfxA (cfxA_U38243)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaVEB-1 (blaVEB-1_HM370393)
cefepime	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaVEB-1 (blaVEB-1_HM370393)
cefixime	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	Resistant	3	blaVEB-1 (blaVEB-1_HM370393)
cefoxitin	beta-lactam	Resistant	3	blaVEB-1 (blaVEB-1_HM370393), cfxA (cfxA_U38243)
ceftazidime	beta-lactam	Resistant	3	blaVEB-1 (blaVEB-1_HM370393)
ertapenem	beta-lactam	No resistance	0	
imipenem	beta-lactam	No resistance	0	
meropenem	beta-lactam	No resistance	0	
piperacillin	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaOXA-10 (blaOXA-10_J03427), blaVEB-1 (blaVEB-1_HM370393)
piperacillin+tazobactam	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510), blaOXA-10 (blaOXA-10_J03427), blaVEB-1 (blaVEB-1_HM370393)
unknown beta-lactam	beta-lactam	Resistant	1	blaOXA-347 (blaOXA-347_ACWG01000053)
aztreonam	beta-lactam	Resistant	3	blaOXA-10 (blaOXA-10_J03427), blaVEB-1 (blaVEB-1_HM370393)
cefotaxime+clavulanic acid	beta-lactam	No resistance	0	
temocillin	beta-lactam	No resistance	0	
ticarcillin	beta-lactam	Resistant	3	blaVEB-1 (blaVEB-1_HM370393)
ceftazidime+avibactam	beta-lactam	No resistance	0	
penicillin	beta-lactam	No resistance	0	
ceftriaxone	beta-lactam	No resistance	0	
ticarcillin+clavulanic acid	beta-lactam	Resistant	3	blaVEB-1 (blaVEB-1_HM370393)
cephalothin	beta-lactam	No resistance	0	
cephalotin	beta-lactam	No resistance	0	
piperacillin+clavulanic acid	beta-lactam	No resistance	0	
ceftiofur	under_development	No resistance	0	
sulfamethoxazole	folate pathway antagonist	Resistant	1	sul1 (sul1_U12338)
trimethoprim	folate pathway antagonist	No resistance	0	
fosfomycin	fosfomycin	No resistance	0	
vancomycin	glycopeptide	No resistance	0	
teicoplanin	glycopeptide	No resistance	0	
bleomycin	glycopeptide	No resistance	0	
lincomycin	lincosamide	Resistant	3	erm(B) (erm(B)_X66468), erm(F) (erm(F)_M17808)
clindamycin	lincosamide	Resistant	3	erm(B) (erm(B)_X66468), erm(F) (erm(F)_M17808)
dalfopristin	streptogramin a	No resistance	0	
pristinamycin iia	streptogramin a	No resistance	0	
virginiamycin m	streptogramin a	No resistance	0	
quinupristin+dalfopristin	streptogramin a	No resistance	0	
tiamulin	pleuromutilin	No resistance	0	
carbomycin	macrolide	No resistance	0	
erythromycin	macrolide	Resistant	3	erm(B) (erm(B)_X66468), erm(F) (erm(F)_M17808), msr(E) (msr(E)_FR751518), mph(E) (mph(E)_DQ839391), mph(N) (mph(N)_KF648874)
azithromycin	macrolide	Resistant	3	msr(E) (msr(E)_FR751518)
oleandomycin	macrolide	No resistance	0	
spiramycin	macrolide	No resistance	0	
tylosin	macrolide	No resistance	0	
telithromycin	macrolide	No resistance	0	
tetracycline	tetracycline	Resistant	2	tet(C) (tet(C)_AY046276), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_Z21523), tet(X) (tet(X)_M37699)
doxycycline	tetracycline	Resistant	2	tet(C) (tet(C)_AY046276), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_Z21523), tet(X) (tet(X)_M37699)
minocycline	tetracycline	Resistant	2	tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_Z21523), tet(X) (tet(X)_M37699)
tigecycline	tetracycline	Resistant	2	tet(X) (tet(X)_M37699)
